international_plan,voice_mail_plan,number_vmail_messages,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,total_net_minutes,total_net_calls,total_net_charge
0,1,40,6.2,5.0,1.67,2.0,0,531.7,264.0,49.220000000000006
1,0,0,9.3,4.0,2.51,0.0,0,622.1,276.0,67.94999999999999
1,0,0,8.3,8.0,2.24,0.0,0,460.90000000000003,351.0,44.64
0,0,0,7.8,1.0,2.11,1.0,0,582.0,210.0,61.31999999999999
0,0,0,13.8,3.0,3.73,3.5,1,496.6,311.0,51.47
0,0,0,11.8,7.0,3.19,3.0,0,707.6,280.0,68.89
0,1,40,12.1,2.0,3.27,0.0,0,667.7,242.0,65.69
0,0,0,8.0,4.0,2.16,3.0,0,570.0,277.0,62.68
0,0,0,7.3,4.0,1.97,1.0,0,582.5,368.0,60.709999999999994
0,0,0,12.0,3.0,3.24,0.0,0,581.2,302.0,61.92
0,0,0,6.1,2.0,1.65,1.0,0,561.8,273.0,53.849999999999994
0,0,0,11.7,4.0,3.16,0.0,1,751.4000000000001,282.0,78.59
0,0,0,8.2,7.0,2.21,3.5,1,311.7,301.0,24.81
0,0,0,8.2,3.0,2.21,2.0,0,556.0,289.0,58.36
0,0,0,15.0,2.0,4.05,1.0,0,554.0,276.0,52.41
0,0,0,13.2,2.0,3.56,1.0,0,728.6,292.0,70.07
1,0,0,12.6,5.0,3.4,3.0,0,698.7,292.0,66.56
0,1,24,9.8,4.0,2.65,1.0,0,731.9,267.0,74.51
0,1,29,8.6,7.0,2.32,0.0,0,728.2,268.0,64.22
0,0,0,8.0,5.0,2.16,3.5,1,502.5,290.0,48.55
0,0,0,12.0,2.0,3.24,1.0,0,605.2,292.0,62.36
0,1,35,10.9,9.0,2.94,2.0,0,479.6,245.0,45.78
0,0,0,13.9,4.0,3.75,1.0,1,694.4,286.0,70.89
0,0,0,11.1,2.0,3.0,1.0,0,448.4,260.0,45.96
0,0,0,8.9,4.0,2.4,0.0,1,590.3,323.0,59.63
0,0,0,7.9,9.0,2.13,1.0,0,550.5,269.0,47.230000000000004
0,0,0,9.5,7.0,2.57,3.0,0,695.2,310.0,70.03
0,0,0,10.6,7.0,2.86,3.0,0,497.4,243.0,52.4
0,0,0,13.0,4.0,3.51,0.0,0,547.5,254.0,53.17999999999999
0,0,0,8.7,3.0,2.35,3.5,0,596.4,276.0,59.900000000000006
0,0,0,5.3,5.0,1.43,1.0,1,588.7,331.0,61.379999999999995
0,0,0,9.8,7.0,2.65,2.0,1,732.7,307.0,72.67
0,1,21,4.4,8.0,1.19,3.5,0,573.5999999999999,289.0,56.050000000000004
0,0,0,14.6,5.0,3.94,0.0,0,496.4,315.0,52.19
0,0,0,12.5,9.0,3.38,1.0,0,563.9000000000001,307.0,49.6
0,0,0,11.3,2.0,3.05,1.0,0,592.8,278.0,54.94
0,0,0,11.8,4.0,3.19,3.5,0,615.3,278.0,64.94
0,1,29,9.0,6.0,2.43,2.0,0,670.8,291.0,73.45
0,1,21,9.8,3.0,2.65,1.0,0,499.4,332.0,43.779999999999994
0,0,0,9.6,7.0,2.59,3.0,0,619.1,319.0,62.5
0,0,0,8.3,8.0,2.24,1.0,0,601.4,269.0,60.370000000000005
0,0,0,12.1,4.0,3.27,3.5,0,579.5999999999999,343.0,53.85
0,0,0,13.3,7.0,3.59,1.0,0,580.5,312.0,50.199999999999996
0,0,0,9.4,3.0,2.54,1.0,0,439.9,272.0,33.94
1,1,40,17.25,6.0,4.65,0.0,1,590.0,337.0,61.35
0,0,0,14.2,3.0,3.83,1.0,0,380.91249999999997,314.0,43.556250000000006
0,0,0,9.4,4.0,2.54,1.0,1,672.4,277.0,74.37
0,0,0,13.1,7.0,3.54,1.0,0,637.6,285.0,64.05
0,1,22,7.2,3.0,1.94,0.0,0,497.8,311.0,54.800000000000004
0,0,0,9.8,4.0,2.65,3.0,0,595.0,323.0,57.96
0,0,0,11.6,3.0,3.13,1.0,0,416.1,308.0,45.379999999999995
0,0,0,9.2,5.0,2.48,2.0,0,491.79999999999995,334.0,45.81
0,0,0,12.0,3.0,3.24,1.0,0,683.3,262.0,65.1
0,0,0,9.1,3.0,2.46,3.5,1,383.0,277.0,32.38
0,1,27,6.4,6.0,1.73,3.5,1,559.8,356.0,54.5
0,0,0,9.2,4.0,2.48,2.0,0,460.4,299.0,39.93
0,0,0,10.9,2.0,2.94,3.0,0,510.1,329.0,49.849999999999994
0,0,0,6.1,5.0,1.65,1.0,0,581.2,291.0,53.269999999999996
0,0,0,9.5,3.0,2.57,1.0,0,722.8,375.0,70.61
0,0,0,7.1,1.0,1.92,3.5,0,607.6,258.0,60.42
0,0,0,9.1,10.0,2.46,1.0,0,606.0,317.0,60.0
1,0,0,11.2,3.0,3.02,3.0,0,550.4000000000001,325.0,47.93
0,1,36,11.2,8.0,3.02,1.0,0,573.3,264.0,53.77
0,1,23,10.2,5.0,2.75,2.0,0,515.6,220.0,54.910000000000004
0,0,0,12.4,3.0,3.35,1.0,0,618.5,311.0,57.449999999999996
0,1,39,10.5,4.0,2.84,0.0,0,674.5,281.0,64.2
0,1,28,6.8,5.0,1.84,3.0,0,497.8,320.0,54.3
0,0,0,11.7,4.0,3.16,1.0,0,642.5,228.0,67.55
1,0,0,14.1,7.0,3.81,2.0,1,594.0,305.0,54.72
0,0,0,8.5,5.0,2.3,1.0,0,561.5,322.0,56.69
0,1,40,11.1,4.0,3.0,2.0,0,706.6999999999999,278.0,70.5
0,0,0,10.6,6.0,2.86,1.0,0,587.5,291.0,59.52
0,0,0,10.1,7.0,2.73,1.0,0,608.5,315.0,48.51
0,0,0,7.5,6.0,2.03,1.0,0,572.8,319.0,55.57000000000001
0,0,0,6.9,10.5,1.86,1.0,0,615.0,372.0,65.86000000000001
0,0,0,11.5,4.0,3.11,3.5,0,675.9,248.5,68.81
0,0,0,9.8,4.0,2.65,0.0,0,736.7,355.0,67.17999999999999
0,0,0,15.8,7.0,4.27,0.0,1,706.8124999999999,350.0,81.5875
0,1,23,13.7,2.0,3.7,0.0,0,663.8,337.0,59.45
0,0,0,10.2,2.0,2.75,1.0,0,618.9,268.0,61.07
0,1,24,9.6,4.0,2.59,1.0,0,490.3,367.0,47.17
0,0,0,12.0,6.0,3.24,0.0,0,712.1,324.0,68.85
0,0,0,12.2,1.0,3.29,1.0,0,470.9,307.0,38.97
0,1,31,7.5,3.0,2.03,1.0,0,617.9000000000001,385.0,58.07000000000001
0,0,0,10.9,3.0,2.94,1.0,0,706.5,320.0,66.77000000000001
0,1,38,12.8,4.0,3.46,1.0,0,469.29999999999995,313.0,50.120000000000005
0,0,0,6.3,2.0,1.7,0.0,0,572.3,230.0,62.11
0,0,0,13.2,2.0,3.56,1.0,0,558.0,289.0,63.690000000000005
0,0,0,10.5,4.0,2.84,3.0,0,599.7,274.0,50.36000000000001
0,0,0,14.1,2.0,3.81,1.0,0,478.1,330.0,43.28
0,0,0,6.1,5.0,1.65,0.0,0,613.3,321.0,60.96999999999999
0,0,0,11.1,7.0,3.0,2.0,0,592.5,335.0,65.0
0,0,0,12.2,3.0,3.29,0.0,0,532.7,313.0,49.97
0,0,0,16.2,10.0,4.37,3.0,0,575.6,281.0,55.36
0,0,0,3.25,0.0,0.8899999999999992,3.0,0,725.5999999999999,346.0,73.36
1,1,23,9.5,5.0,2.57,3.5,0,693.8,364.0,64.44
0,0,0,11.9,1.0,3.21,3.5,1,333.7,303.0,27.84
0,1,36,9.9,10.5,2.67,2.0,0,523.1999999999999,308.0,47.49999999999999
0,0,0,14.6,7.0,3.94,2.0,0,654.4,282.0,62.89000000000001
1,0,0,8.4,3.0,2.27,3.0,0,639.3,311.0,71.05999999999999
0,0,0,10.8,10.5,2.92,1.0,0,724.0,372.0,70.1
0,0,0,10.2,4.0,2.75,1.0,0,421.5,316.0,41.38
0,0,0,10.9,3.0,2.94,2.0,0,578.3,300.0,69.15
0,0,0,9.1,3.0,2.46,1.0,0,651.0,311.0,65.84
0,0,0,9.5,2.0,2.57,1.0,0,505.6,282.0,48.49
0,0,0,8.8,4.0,2.38,2.0,0,613.2,270.0,61.629999999999995
0,0,0,13.4,2.0,3.62,0.0,0,490.7,337.0,47.4
0,1,23,9.5,4.0,2.57,1.0,0,575.2,251.0,68.74
0,1,23,6.8,6.0,1.84,1.0,0,555.6,264.0,56.85
0,0,0,9.7,8.0,2.62,0.0,0,593.4,360.0,52.709999999999994
0,0,0,10.7,6.0,2.89,2.0,1,683.5124999999999,282.0,78.4975
1,1,26,13.8,7.0,3.73,3.5,1,747.9,325.0,78.24999999999999
0,0,0,13.0,3.0,3.51,0.0,0,505.7,259.0,40.22
0,1,24,13.1,5.0,3.54,3.0,0,616.1,378.0,54.76
0,0,0,11.2,1.0,3.02,2.0,0,755.5,325.0,69.92
0,0,0,6.4,8.0,1.73,3.0,0,642.5,290.0,63.52
0,0,0,6.8,3.0,1.84,2.0,0,536.2,243.0,48.839999999999996
0,0,0,9.4,4.0,2.54,1.0,0,608.3,278.0,56.760000000000005
0,1,36,12.1,2.0,3.27,1.0,0,506.9,270.0,44.54
0,0,0,13.7,8.0,3.7,2.0,0,507.50000000000006,254.0,56.67
0,0,0,10.8,5.0,2.92,3.0,0,604.4000000000001,279.0,58.97
0,0,0,12.2,5.0,3.29,3.0,0,625.9000000000001,289.0,60.97
0,0,0,15.8,7.0,4.27,3.0,0,690.0,290.0,68.06
0,0,0,11.6,10.0,3.13,1.0,0,584.9,279.0,62.69
1,0,0,11.9,10.5,3.21,0.0,0,645.4000000000001,297.0,64.39
0,0,0,11.5,6.0,3.11,3.0,0,583.0999999999999,322.0,55.79
0,0,0,4.7,7.0,1.27,3.0,0,669.5999999999999,253.0,61.599999999999994
0,0,0,7.1,10.5,1.92,0.0,0,521.8,326.0,55.76
0,0,0,12.2,6.0,3.29,3.0,0,548.4,313.0,53.730000000000004
0,1,22,10.2,6.0,2.75,1.0,0,585.4,285.0,54.06999999999999
0,0,0,4.4,2.0,1.19,1.0,0,629.2,312.0,56.25
0,0,0,8.9,6.0,2.4,2.0,0,565.8,339.0,53.81
0,0,0,13.8,1.0,3.73,2.0,0,469.6,286.0,36.04
0,0,0,3.25,4.0,0.8899999999999992,1.0,0,698.0,328.0,67.46000000000001
0,0,0,7.7,2.0,2.08,3.0,0,673.1,299.0,65.94
0,1,27,9.6,3.0,2.59,2.0,0,452.29999999999995,300.0,51.209999999999994
0,1,22,11.9,3.0,3.21,0.0,0,673.0999999999999,284.0,67.39
1,0,0,10.5,2.0,2.84,0.0,1,659.0,283.0,73.82999999999998
1,1,36,11.0,6.0,2.97,1.0,0,687.9,313.0,67.48
0,0,0,13.5,2.0,3.65,3.0,0,601.0,344.0,61.120000000000005
0,0,0,10.9,2.0,2.94,0.0,0,543.4000000000001,297.0,54.37
1,0,0,9.0,5.0,2.43,1.0,0,646.5999999999999,362.0,60.35
0,0,0,10.2,2.0,2.75,3.5,1,539.3000000000001,329.0,49.52
0,1,40,9.0,9.0,2.43,2.0,0,556.3,329.0,55.11
0,0,0,9.8,7.0,2.65,3.0,0,467.5,316.0,38.39
0,0,0,10.7,9.0,2.89,0.0,0,431.1,349.0,34.69
0,0,0,12.9,5.0,3.48,0.0,0,503.8,293.0,53.73
1,0,0,12.3,2.0,3.32,2.0,1,492.29999999999995,278.0,44.41
0,0,0,7.1,2.0,1.92,3.0,0,596.2,254.0,62.03
0,0,0,9.5,5.0,2.57,0.0,0,479.1,296.0,42.0
0,1,37,11.1,3.0,3.0,0.0,0,424.0,288.0,30.67
0,0,0,10.2,5.0,2.75,0.0,0,647.9,218.0,61.99
0,0,0,9.2,2.0,2.48,3.5,0,630.1,280.0,59.18
0,1,29,13.9,10.5,3.75,3.5,1,554.5,258.0,49.34
0,0,0,14.4,7.0,3.89,3.5,0,571.7,343.0,58.59
0,1,40,9.5,3.0,2.57,0.0,0,585.9,293.0,50.44
1,0,0,10.9,3.0,2.94,0.0,0,595.0,280.0,55.66
0,1,32,14.1,8.0,3.81,3.5,0,555.5,305.0,54.38999999999999
0,0,0,9.8,3.0,2.65,1.0,0,542.5,331.0,48.63
0,0,0,14.5,8.0,3.92,1.0,0,528.0,299.0,44.34
1,0,0,10.4,2.0,2.81,1.0,1,464.9,317.0,35.97
0,0,0,8.7,4.0,2.35,1.0,0,559.9,282.0,53.99999999999999
0,1,25,6.7,9.0,1.81,1.0,0,605.4000000000001,270.0,56.22
0,0,0,15.4,1.0,4.16,1.0,0,501.5,261.0,45.11
0,0,0,11.5,3.0,3.11,1.0,0,539.8,307.0,50.65
0,0,0,12.5,1.0,3.38,1.0,0,630.5,319.0,58.26
0,0,0,8.3,6.0,2.24,2.0,0,603.5,253.0,67.74
0,1,30,11.4,6.0,3.08,1.0,0,757.8,253.0,70.27
0,1,28,8.4,9.0,2.27,3.5,0,651.2,311.0,65.25999999999999
0,0,0,13.5,6.0,3.65,3.0,0,572.7,265.0,49.88
1,0,0,9.9,3.0,2.67,2.0,0,520.2,318.0,50.43
0,0,0,14.6,3.0,3.94,0.0,0,681.4,322.0,65.49
0,0,0,7.7,3.0,2.08,1.0,0,515.6,308.0,47.24
0,1,28,8.0,10.5,2.16,3.0,0,655.8,285.0,65.72
0,0,0,13.0,3.0,3.51,3.0,0,630.4000000000001,301.0,61.84
0,1,28,10.0,3.0,2.7,1.0,0,585.0999999999999,283.0,53.01
1,0,0,11.1,4.0,3.0,0.0,0,630.2,272.0,64.04
0,1,40,6.5,2.0,1.76,2.0,1,527.4000000000001,269.0,52.400000000000006
0,1,25,10.9,6.0,2.94,2.0,0,672.8,249.0,63.39999999999999
1,0,0,10.5,6.0,2.84,3.0,0,646.2,339.0,63.39
0,0,0,13.0,4.0,3.51,2.0,0,534.5,324.0,52.55
0,0,0,10.4,6.0,2.81,2.0,0,602.6,272.0,60.36
0,1,37,12.2,1.0,3.29,1.0,0,515.7,279.0,56.06
0,1,24,15.6,3.0,4.21,2.0,0,575.3,300.0,51.349999999999994
0,0,0,8.8,5.0,2.38,2.0,0,528.9,308.0,54.720000000000006
0,0,0,14.5,4.0,3.92,2.0,0,705.1,258.0,65.84
0,0,0,14.1,5.0,3.81,0.0,0,595.2,249.0,58.019999999999996
0,0,0,5.3,3.0,1.43,1.0,1,876.9,298.0,87.88
0,1,34,8.0,2.0,2.16,0.0,0,749.3,314.0,71.32000000000001
0,0,0,9.7,3.0,2.62,0.0,0,353.7,314.0,33.52
0,0,0,5.9,4.0,1.59,1.0,0,517.8,332.0,53.199999999999996
0,1,18,9.8,3.0,2.65,1.0,0,565.6,269.0,52.38
0,0,0,9.5,5.0,2.57,1.0,0,600.9000000000001,376.0,59.76
0,0,0,10.1,5.0,2.73,2.0,0,475.79999999999995,235.0,42.03
0,0,0,11.9,1.0,3.21,0.0,0,582.3,274.0,53.28
0,0,0,6.6,9.0,1.78,3.5,0,641.3,337.0,64.55000000000001
0,0,0,11.9,4.0,3.21,2.0,0,477.5,272.0,47.36
0,0,0,5.9,2.0,1.59,1.0,1,738.6000000000001,379.5,77.15
0,0,0,9.1,4.0,2.46,1.0,0,691.6,309.0,62.57
0,0,0,10.3,10.0,2.78,1.0,0,559.7,284.0,46.830000000000005
0,0,0,9.1,5.0,2.46,2.0,0,656.6,293.0,68.78
0,0,0,8.5,10.0,2.3,1.0,1,754.4000000000001,334.0,78.7
0,0,0,11.4,3.0,3.08,3.5,1,645.1,295.0,74.68
0,0,0,11.4,2.0,3.08,0.0,0,568.1,290.0,57.48
0,0,0,8.9,4.0,2.4,3.0,0,669.0999999999999,294.0,68.84
0,0,0,13.2,2.0,3.56,1.0,1,734.4,305.0,72.94
0,1,38,9.7,6.0,2.62,1.0,0,615.7,296.0,65.08
0,0,0,10.9,3.0,2.94,0.0,0,595.2,226.0,59.26
0,0,0,9.8,4.0,2.65,0.0,0,579.4,335.0,49.06
0,0,0,17.25,2.0,4.65,0.0,0,585.0,317.0,50.19
0,0,0,12.4,3.0,3.35,1.0,0,490.5,318.0,41.879999999999995
0,1,28,7.7,4.0,2.08,2.0,0,551.9,281.0,50.769999999999996
0,1,29,7.6,3.0,2.05,3.0,0,522.2,256.0,48.5
0,0,0,6.2,3.0,1.67,0.0,0,722.9,254.0,64.93
0,1,32,12.9,3.0,3.48,1.0,0,535.4,273.0,46.85
0,0,0,10.0,3.0,2.7,0.0,0,630.5,294.0,55.99
0,0,0,11.3,4.0,3.05,1.0,0,584.5,317.0,46.95
0,0,0,13.4,5.0,3.62,3.0,0,607.0,324.0,59.39
0,1,30,7.1,3.0,1.92,0.0,0,430.6,329.0,35.51
0,1,35,11.4,4.0,3.08,1.0,0,475.29999999999995,209.5,38.34
0,1,33,9.5,4.0,2.57,1.0,0,631.0,316.0,67.71
0,0,0,12.5,3.0,3.38,0.0,0,603.8,312.0,60.64
0,0,0,14.4,10.5,3.89,0.0,0,525.5,282.0,58.92
0,0,0,7.9,2.0,2.13,3.0,0,635.2,327.0,65.12
0,0,0,9.5,2.0,2.57,1.0,1,718.6999999999999,268.0,76.36
0,0,0,12.2,5.0,3.29,3.5,1,463.79999999999995,366.0,44.790000000000006
0,0,0,9.3,4.0,2.51,0.0,0,640.0,264.0,60.56
0,1,17,8.6,4.0,2.32,1.0,0,522.3,232.5,55.879999999999995
0,0,0,10.6,2.0,2.86,0.0,0,610.9,251.0,59.5
0,0,0,7.0,7.0,1.89,2.0,0,673.5,367.0,61.64
0,0,0,14.6,2.0,3.94,0.0,0,599.8,296.0,63.1
0,0,0,9.1,1.0,2.46,1.0,1,652.2,260.0,63.04
0,1,34,14.0,7.0,3.78,0.0,0,611.2,252.0,61.7
0,1,21,3.25,0.0,0.8899999999999992,2.0,0,485.5,268.0,36.97
0,1,37,13.3,3.0,3.59,1.0,0,403.9,294.0,40.84
0,0,0,7.2,8.0,1.94,3.0,0,574.4,370.0,65.53999999999999
0,1,33,12.2,5.0,3.29,1.0,0,545.9000000000001,308.0,49.69
0,0,0,10.5,10.5,2.84,1.0,0,562.5,327.0,59.089999999999996
0,1,40,13.1,5.0,3.54,3.0,0,445.80000000000007,334.0,46.04
0,0,0,11.3,8.0,3.05,3.5,0,617.1,299.0,58.78
1,1,38,10.1,4.0,2.73,3.5,0,691.7,234.0,68.02000000000001
0,0,0,5.3,3.0,1.43,1.0,0,425.79999999999995,331.0,45.269999999999996
0,0,0,14.7,9.0,3.97,2.0,0,590.6,265.0,57.47
1,0,0,13.2,2.0,3.56,2.0,1,648.9,259.0,67.46
0,1,23,8.5,2.0,2.3,2.0,0,483.9,313.0,47.63999999999999
0,1,29,5.8,4.0,1.57,1.0,0,593.1999999999999,309.0,56.05
1,0,0,8.8,6.0,2.38,1.0,1,752.3,262.0,78.49
0,0,0,11.3,6.0,3.05,0.0,0,557.1,263.0,47.81
0,1,36,12.0,5.0,3.24,1.0,0,596.1,365.0,53.830000000000005
0,0,0,11.3,3.0,3.05,2.0,0,642.8,361.0,61.800000000000004
0,0,0,10.9,2.0,2.94,0.0,0,568.1,287.0,54.39
0,0,0,9.1,3.0,2.46,3.5,0,586.0,334.0,61.1
0,0,0,17.25,3.0,4.65,1.0,0,586.6,335.0,46.31
0,0,0,7.6,5.0,2.05,1.0,0,462.3,361.0,40.52
0,0,0,10.3,6.0,2.78,1.0,0,631.2,277.0,62.64
0,0,0,10.6,6.0,2.86,2.0,0,645.1,303.0,62.57000000000001
1,0,0,12.4,1.0,3.35,0.0,1,601.5999999999999,240.0,58.89
0,0,0,14.8,2.0,4.0,2.0,0,562.0,302.0,55.09
0,1,21,10.6,5.0,2.86,0.0,0,528.5,309.0,57.730000000000004
0,0,0,11.2,7.0,3.02,2.0,0,476.6,314.0,47.5
0,0,0,6.7,10.5,1.81,1.0,0,646.3,337.0,63.370000000000005
1,0,0,11.5,2.0,3.11,1.0,1,650.6,285.0,61.42
0,0,0,6.8,4.0,1.84,2.0,0,614.8,309.0,61.720000000000006
0,0,0,14.7,2.0,3.97,3.0,0,651.7,261.0,67.24
0,0,0,14.7,4.0,3.97,1.0,0,547.0,315.0,49.78
1,0,0,5.7,4.0,1.54,0.0,0,570.7,260.0,53.510000000000005
1,1,22,3.7,5.0,1.0,1.0,0,744.3000000000001,284.0,70.9
0,0,0,7.2,4.0,1.94,2.0,0,594.5,297.0,56.580000000000005
0,0,0,10.7,7.0,2.89,3.5,0,655.3,303.0,67.07
0,0,0,8.5,5.0,2.3,1.0,0,542.8,238.0,58.92
0,0,0,10.7,3.0,2.89,1.0,0,520.4,339.0,46.980000000000004
0,0,0,11.1,2.0,3.0,1.0,0,626.9000000000001,316.0,59.00999999999999
0,0,0,8.7,3.0,2.35,0.0,0,576.9,335.0,49.489999999999995
0,0,0,12.4,5.0,3.35,3.5,0,615.5,359.0,60.57000000000001
0,0,0,9.4,3.0,2.54,2.0,0,608.0,267.0,62.709999999999994
0,0,0,10.8,2.0,2.92,0.0,1,601.5,277.0,63.99000000000001
0,1,22,9.7,5.0,2.62,0.0,0,479.30000000000007,277.5,60.09
0,0,0,8.5,4.0,2.3,1.0,0,498.7,359.0,50.36
0,0,0,10.6,5.0,2.86,1.0,1,589.0,277.0,56.620000000000005
0,0,0,10.6,3.0,2.86,0.0,0,572.0,330.0,57.81
0,1,26,9.9,2.0,2.67,1.0,0,503.1,293.0,48.559999999999995
0,0,0,11.2,6.0,3.02,1.0,0,546.6,341.0,58.980000000000004
1,0,0,9.3,5.0,2.51,0.0,0,623.8000000000001,279.0,67.55
0,0,0,6.8,7.0,1.84,0.0,0,503.1,265.0,45.27
0,0,0,8.5,5.0,2.3,3.5,1,539.2,315.0,51.3
1,0,0,10.3,3.0,2.78,1.0,0,513.6,277.0,49.08
0,0,0,4.8,4.0,1.3,2.0,0,551.9,335.0,56.209999999999994
0,0,0,8.4,5.0,2.27,2.0,0,523.0,261.0,51.54
0,0,0,10.4,6.0,2.81,2.0,0,472.4,262.0,40.85
0,0,0,5.4,1.0,1.46,0.0,0,670.9000000000001,274.0,72.37
0,0,0,10.0,3.0,2.7,0.0,0,512.9,256.0,49.23
1,0,0,5.0,2.0,1.35,1.0,1,543.9,304.0,52.32
0,0,0,9.8,2.0,2.65,0.0,0,624.2,283.0,65.07
0,1,34,16.0,6.0,4.32,1.0,0,576.4000000000001,233.0,51.519999999999996
0,0,0,7.5,6.0,2.03,2.0,0,723.6,277.0,68.66
0,1,28,9.3,10.5,2.51,2.0,0,643.0999999999999,376.0,65.37
0,0,0,15.3,1.0,4.13,1.0,0,513.3,320.0,62.629999999999995
0,0,0,12.5,3.0,3.38,0.0,0,684.2,281.0,67.58999999999999
0,1,40,10.3,2.0,2.78,3.0,0,652.7,303.0,66.09
0,1,16,11.3,3.0,3.05,1.0,0,551.8,341.0,57.74
1,0,0,10.9,4.0,2.94,1.0,0,583.5999999999999,362.0,57.790000000000006
0,0,0,12.5,7.0,3.38,1.0,0,416.0,334.0,38.56
0,1,40,9.6,9.0,2.59,1.0,0,538.6,286.0,46.0
0,0,0,11.2,5.0,3.02,3.0,0,579.3,325.0,55.59
0,0,0,12.4,7.0,3.35,2.0,0,607.1,314.0,53.18
0,0,0,13.3,2.0,3.59,2.0,1,705.9000000000001,294.0,73.47999999999999
0,0,0,11.4,4.0,3.08,1.0,0,641.9000000000001,306.0,62.48
0,0,0,12.8,2.0,3.46,1.0,0,684.7,268.0,68.52
0,0,0,11.8,5.0,3.19,2.0,0,485.9,332.0,48.25
0,1,31,8.6,3.0,2.32,0.0,0,695.7,252.0,75.54
0,1,29,11.2,3.0,3.02,1.0,0,523.5,279.0,58.37
0,0,0,8.3,4.0,2.24,0.0,1,674.2,276.0,72.16
